epoch,time_sec,loss,val_loc_recall@1,val_loc_ndcg@1,val_loc_recall@5,val_loc_ndcg@5,val_loc_recall@10,val_loc_ndcg@10,test_loc_recall@1,test_loc_ndcg@1,test_loc_recall@5,test_loc_ndcg@5,test_loc_recall@10,test_loc_ndcg@10
1,151.12143516540527,73.72340531243134,0.0,0.0,0.008811650960714722,0.003700513619277136,0.017133765756945293,0.006358288293251893,0.0002550044625780951,0.0002550044625780951,0.008032640571209997,0.0036066119865116896,0.015172765523396659,0.005863820352861958
2,143.35253381729126,66.02589075094778,0.004650593562599437,0.004650593562599437,0.014930853016766613,0.00961941841722133,0.024354424183086525,0.01270832073774584,0.005610098176718092,0.005610098176718092,0.01772281014917761,0.011769213661101192,0.02652046410812189,0.014599522206911882
3,147.56351399421692,64.55308780078578,0.009178803084077836,0.009178803084077836,0.027781177334475583,0.018185849253075925,0.042344878227879086,0.02291931059307691,0.011602703047303329,0.011602703047303329,0.031748055590972844,0.02118938544582959,0.04488078541374474,0.025334911638720977
4,149.72968554496765,62.47343713226425,0.013707012605556235,0.013707012605556235,0.050055072818504465,0.03125858097892834,0.07612287357728552,0.03985943332206895,0.01772281014917761,0.01772281014917761,0.05112839474690807,0.03347361568481692,0.07165625398444472,0.04017394862429731
5,149.3674190044403,59.92351127724188,0.02570064863541794,0.02570064863541794,0.06620976624648146,0.045787164724642,0.09558193611553054,0.05520080487521826,0.026775468570699987,0.026775468570699987,0.0656636491138595,0.04580285126847089,0.09282162437842663,0.05463112773874593
6,140.45247507095337,58.24195041658396,0.0381838208297638,0.0381838208297638,0.07906009056419043,0.05934912447041769,0.10047729776037205,0.06624907700146825,0.038888180543159505,0.038888180543159505,0.07943389009307662,0.05998469896573703,0.10582685196990947,0.06834405362720045
7,148.6710867881775,56.98315514868583,0.04932076857177824,0.04932076857177824,0.09178803084077836,0.07133217004022142,0.116509607147228,0.07910666051349796,0.05240341705979855,0.05240341705979855,0.09447915338518424,0.07407896358049085,0.12099961749330614,0.0824362839019133
8,151.95560002326965,55.78506737025485,0.06021294823155061,0.06021294823155061,0.11259331783135479,0.08743895597782352,0.14318932811161425,0.09722361636780391,0.06260359556292235,0.06260359556292235,0.1147520081601428,0.08984185186223413,0.1456075481320923,0.09979592232349711
9,150.87802743911743,54.840375788989114,0.06461877371190797,0.06461877371190797,0.12984946762942112,0.09851821150807152,0.16619752784236935,0.11027949503171022,0.06693867142674997,0.06693867142674997,0.13183730715287517,0.1009793593979879,0.16333035828126993,0.11117691868241916
10,143.33116269111633,54.16982117794893,0.07024843960347571,0.07024843960347571,0.14612654509851916,0.10968106876766502,0.18333129359931466,0.1218195165542943,0.06948871605253092,0.06948871605253092,0.139359938798929,0.10644985848842312,0.17391304347826086,0.11770287837420407
11,149.2964062690735,53.606047446461204,0.06853506302778117,0.06853506302778117,0.15187859503120793,0.11228035220593896,0.1899400318198507,0.12461161351950892,0.06987122274639807,0.06987122274639807,0.14777508606400613,0.11103552240552031,0.18487823536911896,0.12304899870140978
12,153.26029014587402,53.155858879207294,0.0747766491249541,0.0747766491249541,0.16166931832089096,0.12079382659449103,0.2009545955207441,0.13345812461890025,0.07242126737217901,0.07242126737217901,0.15517021547877088,0.11751515228012972,0.19214586255259467,0.12946855939804072
